point_index,q,r,s
0,-4,11,-7
1,-2,10,-8
2,-3,10,-7
3,-4,10,-6
4,-5,10,-5
5,-6,10,-4
6,-7,10,-3
7,-8,10,-2
8,-9,10,-1
9,-10,10,0
10,-9,9,0
11,-8,9,-1
12,-7,9,-2
13,-6,9,-3
14,-5,9,-4
15,-4,9,-5
16,-3,9,-6
17,-2,9,-7
18,-1,9,-8
19,0,9,-9
20,1,8,-9
21,0,8,-8
22,-1,8,-7
23,-2,8,-6
24,-3,8,-5
25,-4,8,-4
26,-8,8,0
27,-9,8,1
28,-10,8,2
29,-10,7,3
30,-9,7,2
31,-8,7,1
32,-7,7,0
33,-6,7,-1
34,-5,7,-2
35,-4,7,-3
36,-3,7,-4
37,-2,7,-5
38,-1,7,-6
39,0,7,-7
40,1,7,-8
41,2,7,-9
42,3,7,-10
43,4,7,-11
44,6,6,-12
45,5,6,-11
46,4,6,-10
47,3,6,-9
48,2,6,-8
49,1,6,-7
50,0,6,-6
51,-1,6,-5
52,-2,6,-4
53,-3,6,-3
54,-4,6,-2
55,-5,6,-1
56,-6,6,0
57,-7,6,1
58,-8,6,2
59,-9,6,3
60,-10,6,4
61,-10,5,5
62,-9,5,4
63,-8,5,3
64,-7,5,2
65,-6,5,1
66,-5,5,0
67,-2,5,-3
68,-1,5,-4
69,0,5,-5
70,1,5,-6
71,2,5,-7
72,3,5,-8
73,4,5,-9
74,5,5,-10
75,6,5,-11
76,7,5,-12
77,7,4,-11
78,6,4,-10
79,5,4,-9
80,4,4,-8
81,3,4,-7
82,2,4,-6
83,1,4,-5
84,-1,4,-3
85,-2,4,-2
86,-3,4,-1
87,-6,4,2
88,-7,4,3
89,-8,4,4
90,-9,4,5
91,-10,4,6
92,-10,3,7
93,-9,3,6
94,-8,3,5
95,-7,3,4
96,-6,3,3
97,-4,3,1
98,-3,3,0
99,-2,3,-1
100,-1,3,-2
101,0,3,-3
102,2,3,-5
103,3,3,-6
104,4,3,-7
105,5,3,-8
106,6,3,-9
107,7,3,-10
108,8,3,-11
109,9,3,-12
110,9,4,-13
111,10,3,-13
112,11,2,-13
113,10,2,-12
114,9,2,-11
115,8,2,-10
116,7,2,-9
117,6,2,-8
118,5,2,-7
119,4,2,-6
120,3,2,-5
121,2,2,-4
122,-2,2,0
123,-3,2,1
124,-4,2,2
125,-5,2,3
126,-6,2,4
127,-7,2,5
128,-8,2,6
129,-9,2,7
130,-10,1,9
131,-9,1,8
132,-8,1,7
133,-7,1,6
134,-6,1,5
135,-5,1,4
136,-4,1,3
137,-3,1,2
138,-2,1,1
139,0,1,-1
140,1,1,-2
141,2,1,-3
142,3,1,-4
143,6,1,-7
144,7,1,-8
145,8,1,-9
146,9,1,-10
147,10,1,-11
148,11,1,-12
149,11,0,-11
150,10,0,-10
151,9,0,-9
152,8,0,-8
153,7,0,-7
154,5,0,-5
155,3,0,-3
156,2,0,-2
157,1,0,-1
158,0,0,0
159,-2,0,2
160,-3,0,3
161,-4,0,4
162,-5,0,5
163,-6,0,6
164,-7,0,7
165,-8,0,8
166,-9,0,9
167,-10,0,10
168,-10,-1,11
169,-9,-1,10
170,-8,-1,9
171,-7,-1,8
172,-6,-1,7
173,-4,-1,5
174,-2,-1,3
175,-1,-1,2
176,0,-1,1
177,1,-1,0
178,3,-1,-2
179,4,-1,-3
180,5,-1,-4
181,6,-1,-5
182,7,-1,-6
183,8,-1,-7
184,9,-1,-8
185,10,-1,-9
186,11,-1,-10
187,11,-2,-9
188,10,-2,-8
189,9,-2,-7
190,8,-2,-6
191,7,-2,-5
192,6,-2,-4
