point_index,q,r,s
0,-6,-4,10
1,-7,-3,10
2,-7,-2,9
3,-7,-1,8
4,-7,0,7
5,-7,1,6
6,-8,1,7
7,-8,2,6
8,-7,2,5
9,-7,3,4
10,-6,-3,9
11,-6,-2,8
12,-6,-1,7
13,-6,0,6
14,-6,1,5
15,-6,2,4
16,-6,3,3
17,-5,-4,9
18,-5,-3,8
19,-5,-2,7
20,-5,-1,6
21,-5,0,5
22,-5,2,3
23,-5,3,2
24,-5,4,1
25,-5,5,0
26,-6,7,-1
27,-6,6,0
28,-5,7,-2
29,-5,6,-1
30,-4,6,-2
31,-4,7,-3
32,-3,7,-4
33,-3,6,-3
34,-3,5,-2
35,-3,4,-1
36,-2,3,-1
37,-3,3,0
38,-4,3,1
39,-4,2,2
40,-3,2,1
41,-3,1,2
42,-4,-5,9
43,-4,-4,8
44,-4,-3,7
45,-4,-2,6
46,-4,-1,5
47,-3,-2,5
48,-3,-1,4
49,-3,0,3
50,-2,4,-2
51,-2,5,-3
52,-1,5,-4
53,0,4,-4
54,-1,4,-3
55,-1,3,-2
56,-1,2,-1
57,-1,1,0
58,-2,1,1
59,-2,0,2
60,-2,-1,3
61,0,0,0
62,-1,0,1
63,0,-1,1
64,-1,-1,2
65,-1,-2,3
66,-2,-2,4
67,-2,-3,5
68,-3,-3,6
69,-3,-4,7
70,-3,-5,8
71,-3,-6,9
72,-2,-7,9
73,-1,-7,8
74,-2,-6,8
75,0,-8,8
76,1,-8,7
77,2,-9,7
78,3,-9,6
79,2,-8,6
80,0,-7,7
81,-1,-6,7
82,-2,-5,7
83,1,-7,6
84,0,-6,6
85,-1,-5,6
86,-2,-4,6
87,-1,-4,5
88,-1,-3,4
89,0,-4,4
90,0,-5,5
91,1,-6,5
92,2,-7,5
93,3,-8,5
94,3,-7,4
95,2,-6,4
96,1,-5,4
97,1,-4,3
98,2,-5,3
99,3,-6,3
100,5,-8,3
101,5,-7,2
102,4,-6,2
103,6,-8,2
104,6,-7,1
105,7,-8,1
106,5,-6,1
107,3,-5,2
108,2,-4,2
109,1,-3,2
110,0,-2,2
111,8,-8,0
112,7,-7,0
113,8,-7,-1
114,7,-6,-1
115,7,-5,-2
116,7,-4,-3
117,7,-3,-4
118,8,-4,-4
119,8,-3,-5
120,9,-4,-5
121,6,-4,-2
122,6,-3,-3
123,5,-4,-1
124,5,-5,0
125,4,-5,1
126,3,-4,1
127,4,-4,0
128,2,-3,1
129,1,-2,1
130,2,-2,0
131,3,-3,0
132,4,-3,-1
133,3,-2,-1
134,2,-1,-1
135,5,-3,-2
136,4,-2,-2
137,3,-1,-2
138,2,0,-2
139,0,1,-1
140,0,2,-2
141,1,1,-2
142,0,3,-3
143,1,3,-4
144,1,2,-3
145,2,1,-3
146,3,0,-3
147,4,-1,-3
148,5,-2,-3
149,5,-1,-4
150,4,0,-4
151,3,1,-4
152,4,1,-5
153,5,0,-5
154,6,0,-6
155,5,1,-6
156,3,2,-5
157,2,3,-5
158,1,4,-5
159,0,5,-5
160,-1,6,-5
161,-1,7,-6
162,0,6,-6
163,0,7,-7
164,-1,8,-7
165,0,8,-8
166,1,7,-8
167,2,7,-9
168,2,6,-8
169,1,6,-7
170,1,5,-6
171,2,4,-6
172,3,3,-6
173,4,2,-6
174,2,5,-7
175,3,4,-7
176,3,5,-8
177,4,3,-7
178,5,2,-7
179,6,1,-7
180,6,2,-8
181,6,3,-9
182,6,4,-10
183,5,5,-10
184,5,4,-9
185,5,3,-8
186,4,4,-8
187,3,6,-9
188,4,5,-9
189,4,6,-10
190,7,3,-10
191,8,2,-10
192,8,3,-11
193,7,2,-9
194,7,1,-8
195,7,0,-7
196,7,-1,-6
197,8,-2,-6
198,9,-3,-6
199,9,-2,-7
200,10,-3,-7
201,8,-1,-7
202,8,0,-8
203,10,-2,-8
204,9,-1,-8
205,8,1,-9
206,9,0,-9
207,9,1,-10
208,9,2,-11
209,-2,2,0
