point_index,q,r,s
0,-7,9,-2
1,-6,9,-3
2,-5,9,-4
3,-4,9,-5
4,-3,9,-6
5,-2,9,-7
6,-1,9,-8
7,2,8,-10
8,1,8,-9
9,0,8,-8
10,-1,8,-7
11,-2,8,-6
12,-3,8,-5
13,-4,8,-4
14,-5,8,-3
15,-6,8,-2
16,-7,8,-1
17,-8,8,0
18,-9,8,1
19,-10,8,2
20,-10,7,3
21,-9,7,2
22,-8,7,1
23,-7,7,0
24,-6,7,-1
25,-5,7,-2
26,-4,7,-3
27,-3,7,-4
28,-2,7,-5
29,-1,7,-6
30,0,7,-7
31,1,7,-8
32,2,7,-9
33,3,7,-10
34,4,7,-11
35,5,7,-12
36,6,6,-12
37,5,6,-11
38,4,6,-10
39,3,6,-9
40,2,6,-8
41,1,6,-7
42,0,6,-6
43,-1,6,-5
44,-2,6,-4
45,-3,6,-3
46,-4,6,-2
47,-5,6,-1
48,-6,6,0
49,-7,6,1
50,-8,6,2
51,-9,6,3
52,-9,5,4
53,-8,5,3
54,-7,5,2
55,-6,5,1
56,-4,5,-1
57,-3,5,-2
58,-2,5,-3
59,-1,5,-4
60,0,5,-5
61,1,5,-6
62,2,5,-7
63,3,5,-8
64,4,5,-9
65,5,5,-10
66,6,5,-11
67,7,5,-12
68,7,4,-11
69,6,4,-10
70,5,4,-9
71,4,4,-8
72,3,4,-7
73,2,4,-6
74,1,4,-5
75,0,4,-4
76,-1,4,-3
77,-2,4,-2
78,-3,4,-1
79,-4,4,0
80,-5,4,1
81,-6,4,2
82,-7,4,3
83,-8,4,4
84,-9,4,5
85,-9,3,6
86,-8,3,5
87,-7,3,4
88,-6,3,3
89,-5,3,2
90,-4,3,1
91,-3,3,0
92,-2,3,-1
93,-1,3,-2
94,0,3,-3
95,1,3,-4
96,2,3,-5
97,3,3,-6
98,4,3,-7
99,5,3,-8
100,6,3,-9
101,7,3,-10
102,8,3,-11
103,9,2,-11
104,8,2,-10
105,7,2,-9
106,6,2,-8
107,5,2,-7
108,4,2,-6
109,3,2,-5
110,-4,2,2
111,-5,2,3
112,-6,2,4
113,-7,2,5
114,-8,2,6
115,-9,2,7
116,-9,1,8
117,-8,1,7
118,-7,1,6
119,-6,1,5
120,-5,1,4
121,-4,1,3
122,-3,1,2
123,3,1,-4
124,4,1,-5
125,5,1,-6
126,6,1,-7
127,7,1,-8
128,8,1,-9
129,9,1,-10
130,9,0,-9
131,8,0,-8
132,6,0,-6
133,5,0,-5
134,4,0,-4
135,3,0,-3
136,2,0,-2
137,1,0,-1
138,0,0,0
139,-1,0,1
140,-2,0,2
141,-3,0,3
142,-5,0,5
143,-6,0,6
144,-7,0,7
145,-8,0,8
146,-8,-1,9
147,-7,-1,8
148,-5,-1,6
149,-4,-1,5
150,-3,-1,4
151,-2,-1,3
152,-1,-1,2
153,0,-1,1
154,1,-1,0
155,2,-1,-1
156,3,-1,-2
157,4,-1,-3
158,6,-1,-5
159,7,-1,-6
160,8,-1,-7
161,9,-1,-8
162,10,-2,-8
163,9,-2,-7
164,8,-2,-6
165,7,-2,-5
166,6,-2,-4
167,5,-2,-3
168,4,-2,-2
169,-2,-2,4
170,-3,-2,5
171,-4,-2,6
172,-5,-2,7
173,-6,-2,8
174,-7,-2,9
175,-8,-2,10
176,-8,-3,11
177,-7,-3,10
178,-6,-3,9
179,-5,-3,8
180,-4,-3,7
181,-3,-3,6
182,-2,-3,5
183,5,-3,-2
184,6,-3,-3
185,7,-3,-4
186,8,-3,-5
187,9,-3,-6
188,10,-3,-7
189,10,-4,-6
190,9,-4,-5
191,8,-4,-4
192,7,-4,-3
193,6,-4,-2
194,5,-4,-1
195,4,-4,0
196,3,-4,1
197,2,-4,2
198,1,-4,3
199,0,-4,4
200,-1,-4,5
201,-2,-4,6
202,-3,-4,7
203,-4,-4,8
204,-5,-4,9
205,-6,-4,10
206,-7,-4,11
207,-6,-5,11
208,-5,-5,10
209,-4,-5,9
210,-3,-5,8
211,-2,-5,7
212,-1,-5,6
213,0,-5,5
214,1,-5,4
215,2,-5,3
216,3,-5,2
217,4,-5,1
218,5,-5,0
219,6,-5,-1
220,7,-5,-2
221,8,-5,-3
222,9,-5,-4
223,10,-5,-5
224,10,-6,-4
225,9,-6,-3
226,8,-6,-2
227,7,-6,-1
228,5,-6,1
229,4,-6,2
230,3,-6,3
231,2,-6,4
232,1,-6,5
233,0,-6,6
234,-1,-6,7
235,-2,-6,8
236,-3,-6,9
237,-4,-6,10
238,-5,-6,11
239,-6,-6,12
240,-5,-7,12
241,-4,-7,11
242,-3,-7,10
243,-2,-7,9
244,-1,-7,8
245,0,-7,7
246,1,-7,6
247,2,-7,5
248,3,-7,4
249,4,-7,3
250,5,-7,2
251,6,-7,1
252,7,-7,0
253,8,-7,-1
254,9,-7,-2
255,10,-7,-3
256,11,-8,-3
257,10,-8,-2
258,9,-8,-1
259,8,-8,0
260,7,-8,1
261,6,-8,2
262,5,-8,3
263,4,-8,4
264,3,-8,5
265,2,-8,6
266,1,-8,7
267,0,-8,8
268,-1,-8,9
269,-2,-8,10
270,-3,-8,11
271,-4,-8,12
272,-1,-9,10
273,0,-9,9
274,1,-9,8
275,2,-9,7
276,3,-9,6
277,4,-9,5
278,5,-9,4
279,6,-9,3
280,7,-9,2
281,8,-9,1
282,8,-10,2
283,7,-10,3
284,6,-10,4
285,5,-10,5
286,4,-10,6
287,3,-10,7
288,2,-10,8
