point_index,q,r,s
0,-6,9,-3
1,-7,9,-2
2,-4,8,-4
3,-5,8,-3
4,-6,8,-2
5,-7,8,-1
6,-8,8,0
7,-9,7,2
8,-8,7,1
9,-7,7,0
10,-6,7,-1
11,-5,7,-2
12,-4,7,-3
13,-3,7,-4
14,-9,6,3
15,-8,6,2
16,-7,6,1
17,-6,6,0
18,-5,6,-1
19,-4,6,-2
20,-3,6,-3
21,-2,6,-4
22,-1,6,-5
23,0,6,-6
24,1,6,-7
25,2,6,-8
26,3,5,-8
27,2,5,-7
28,1,5,-6
29,0,5,-5
30,-1,5,-4
31,-2,5,-3
32,-3,5,-2
33,-4,5,-1
34,-5,5,0
35,-6,5,1
36,-7,5,2
37,-8,5,3
38,-7,4,3
39,-6,4,2
40,-5,4,1
41,-4,4,0
42,-3,4,-1
43,-2,4,-2
44,-1,4,-3
45,0,4,-4
46,1,4,-5
47,3,4,-7
48,4,4,-8
49,5,3,-8
50,4,3,-7
51,2,3,-5
52,1,3,-4
53,0,3,-3
54,-1,3,-2
55,-2,3,-1
56,-3,3,0
57,-4,3,1
58,-5,3,2
59,-6,3,3
60,-5,2,3
61,-4,2,2
62,-3,2,1
63,-1,2,-1
64,0,2,-2
65,1,2,-3
66,2,2,-4
67,3,2,-5
68,5,2,-7
69,6,2,-8
70,7,1,-8
71,6,1,-7
72,5,1,-6
73,4,1,-5
74,3,1,-4
75,2,1,-3
76,1,1,-2
77,0,1,-1
78,-1,1,0
79,-2,1,1
80,-3,1,2
81,-4,1,3
82,-4,0,4
83,-3,0,3
84,-2,0,2
85,-1,0,1
86,0,0,0
87,2,0,-2
88,3,0,-3
89,4,0,-4
90,5,0,-5
91,6,0,-6
92,7,0,-7
93,6,-1,-5
94,5,-1,-4
95,4,-1,-3
96,3,-1,-2
97,2,-1,-1
98,0,-1,1
99,-1,-1,2
100,-2,-1,3
101,-3,-1,4
102,-4,-1,5
103,-5,-1,6
104,-5,-2,7
105,-4,-2,6
106,-3,-2,5
107,-2,-2,4
108,-1,-2,3
109,0,-2,2
110,1,-2,1
111,2,-2,0
112,3,-2,-1
113,4,-2,-2
114,5,-2,-3
115,6,-2,-4
116,7,-3,-4
117,6,-3,-3
118,5,-3,-2
119,3,-3,0
120,2,-3,1
121,1,-3,2
122,0,-3,3
123,-1,-3,4
124,-3,-3,6
125,-4,-3,7
126,-3,-4,7
127,-2,-4,6
128,0,-4,4
129,1,-4,3
130,2,-4,2
131,3,-4,1
132,4,-4,0
133,5,-4,-1
134,6,-4,-2
135,7,-4,-3
136,8,-4,-4
137,9,-5,-4
138,8,-5,-3
139,7,-5,-2
140,6,-5,-1
141,5,-5,0
142,4,-5,1
143,3,-5,2
144,2,-5,3
145,1,-5,4
146,-1,-5,6
147,-2,-5,7
148,-1,-6,7
149,0,-6,6
150,1,-6,5
151,2,-6,4
152,3,-6,3
153,4,-6,2
154,5,-6,1
155,6,-6,0
156,7,-6,-1
157,8,-6,-2
158,9,-6,-3
159,10,-6,-4
160,11,-7,-4
161,10,-7,-3
162,9,-7,-2
163,8,-7,-1
164,7,-7,0
165,6,-7,1
166,5,-7,2
167,4,-7,3
168,3,-7,4
169,2,-7,5
170,1,-7,6
171,0,-7,7
172,5,-8,3
173,6,-8,2
174,7,-8,1
175,8,-8,0
176,9,-8,-1
177,10,-8,-2
178,11,-8,-3
179,10,-9,-1
180,9,-9,0
181,8,-9,1
182,7,-9,2
183,6,-9,3
184,8,-10,2
185,9,-10,1
